bin,freezing_percentage,Mouse
"[0.0, 60.0)",15.120000000000006,astroF3
"[60.0, 120.0)",47.974999999999994,astroF3
"[120.0, 180.0)",86.07,astroF3
"[180.0, 240.0)",78.33333333333333,astroF3
"[240.0, 300.0)",113.33499999999981,astroF3
"[300.0, 360.0)",63.2116666666668,astroF3
"[360.0, 420.0)",42.4333333333333,astroF3
"[0.0, 60.0)",2.7383333333333346,astroF5
"[60.0, 120.0)",23.213333333333328,astroF5
"[120.0, 180.0)",23.80833333333333,astroF5
"[180.0, 240.0)",38.81,astroF5
"[240.0, 300.0)",49.883333333333255,astroF5
"[300.0, 360.0)",40.59166666666679,astroF5
"[360.0, 420.0)",36.2366666666667,astroF5
"[0.0, 60.0)",52.02333333333332,astroF6
"[60.0, 120.0)",2.976666666666669,astroF6
"[120.0, 180.0)",14.406666666666675,astroF6
"[180.0, 240.0)",13.453333333333337,astroF6
"[240.0, 300.0)",35.59666666666672,astroF6
"[300.0, 360.0)",32.379999999999995,astroF6
"[0.0, 60.0)",7.616666666666655,astroF7
"[60.0, 120.0)",14.406666666666675,astroF7
"[120.0, 180.0)",31.668333333333344,astroF7
"[180.0, 240.0)",45.715,astroF7
"[240.0, 300.0)",50.951666666666895,astroF7
"[300.0, 360.0)",44.88333333333325,astroF7
"[360.0, 420.0)",20.835000000000246,astroF7
"[0.0, 60.0)",0.0,astroF9
"[60.0, 120.0)",38.89000000000001,astroF9
"[120.0, 180.0)",40.9949999999999,astroF9
"[180.0, 240.0)",27.219999999999896,astroF9
"[240.0, 300.0)",37.99999999999997,astroF9
"[300.0, 360.0)",9.77833333333327,astroF9
"[0.0, 60.0)",31.77333333333333,astroF10
"[60.0, 120.0)",76.77833333333335,astroF10
"[120.0, 180.0)",92.55500000000005,astroF10
"[180.0, 240.0)",28.333333333333332,astroF10
"[240.0, 300.0)",57.66833333333333,astroF10
"[300.0, 360.0)",82.11166666666666,astroF10
"[0.0, 60.0)",35.33666666666665,astroM3
"[60.0, 120.0)",31.999999999999996,astroM3
"[120.0, 180.0)",45.99666666666664,astroM3
"[180.0, 240.0)",47.22833333333332,astroM3
"[240.0, 300.0)",29.88166666666662,astroM3
"[300.0, 360.0)",10.446666666666621,astroM3
"[0.0, 60.0)",13.779999999999996,astroM4
"[60.0, 120.0)",39.44499999999999,astroM4
"[120.0, 180.0)",28.671666666666624,astroM4
"[180.0, 240.0)",37.32833333333332,astroM4
"[240.0, 300.0)",5.778333333333403,astroM4
"[300.0, 360.0)",17.00166666666661,astroM4
"[0.0, 60.0)",22.223333333333326,astroM5
"[60.0, 120.0)",43.44666666666665,astroM5
"[120.0, 180.0)",35.43999999999992,astroM5
"[180.0, 240.0)",49.55833333333335,astroM5
"[240.0, 300.0)",62.775000000000084,astroM5
"[300.0, 360.0)",47.12833333333341,astroM5
"[0.0, 60.0)",11.108333333333338,astroM9
"[60.0, 120.0)",20.88666666666671,astroM9
"[120.0, 180.0)",16.109999999999946,astroM9
"[180.0, 240.0)",60.333333333333314,astroM9
"[240.0, 300.0)",78.77833333333332,astroM9
"[300.0, 360.0)",52.22833333333351,astroM9
"[0.0, 60.0)",80.10833333333333,astroM10
"[60.0, 120.0)",79.55500000000002,astroM10
"[120.0, 180.0)",68.55666666666667,astroM10
"[180.0, 240.0)",136.77833333333334,astroM10
"[240.0, 300.0)",84.77833333333336,astroM10
"[300.0, 360.0)",99.11166666666664,astroM10
"[360.0, 420.0)",15.71333333333333,astroM10
