bin,freezing_percentage,Mouse
"[0.0, 60.0)",53.441666666666656,astroF3
"[60.0, 120.0)",45.22333333333331,astroF3
"[120.0, 180.0)",106.3333333333333,astroF3
"[180.0, 240.0)",48.77833333333328,astroF3
"[240.0, 300.0)",77.4433333333333,astroF3
"[300.0, 360.0)",66.7416666666666,astroF3
"[0.0, 60.0)",32.66666666666667,astroF5
"[60.0, 120.0)",28.668333333333333,astroF5
"[120.0, 180.0)",30.666666666666632,astroF5
"[180.0, 240.0)",42.5566666666667,astroF5
"[240.0, 300.0)",8.775000000000025,astroF5
"[300.0, 360.0)",8.841666666666677,astroF5
"[0.0, 60.0)",30.778333333333315,astroF6
"[60.0, 120.0)",24.888333333333332,astroF6
"[120.0, 180.0)",17.666666666666707,astroF6
"[180.0, 240.0)",31.333333333333353,astroF6
"[240.0, 300.0)",33.88833333333343,astroF6
"[300.0, 360.0)",20.11166666666649,astroF6
"[0.0, 60.0)",0.0,astroF7
"[60.0, 120.0)",0.0,astroF7
"[120.0, 180.0)",0.0,astroF7
"[180.0, 240.0)",5.111666666666679,astroF7
"[0.0, 60.0)",0.0,astroF9
"[60.0, 120.0)",0.0,astroF9
"[120.0, 180.0)",27.443333333333253,astroF9
"[180.0, 240.0)",5.443333333333319,astroF9
"[0.0, 60.0)",0.0,astroF10
"[60.0, 120.0)",0.0,astroF10
"[120.0, 180.0)",17.443333333333324,astroF10
"[180.0, 240.0)",3.8883333333333305,astroF10
"[240.0, 300.0)",35.889999999999986,astroF10
"[300.0, 360.0)",14.00166666666659,astroF10
"[0.0, 60.0)",0.0,astroM7
"[60.0, 120.0)",18.001666666666647,astroM7
"[120.0, 180.0)",11.331666666666678,astroM7
"[180.0, 240.0)",27.501666666666726,astroM7
"[240.0, 300.0)",14.663333333333336,astroM7
"[0.0, 60.0)",0.0,astroM8
"[60.0, 120.0)",0.0,astroM8
"[120.0, 180.0)",0.0,astroM8
"[180.0, 240.0)",0.0,astroM8
"[240.0, 300.0)",3.7033333333333003,astroM8
"[0.0, 60.0)",0.0,astroM10
"[60.0, 120.0)",6.556666666666662,astroM10
"[120.0, 180.0)",0.0,astroM10
"[180.0, 240.0)",13.666666666666696,astroM10
"[240.0, 300.0)",7.111666666666659,astroM10
"[300.0, 360.0)",13.331666666666706,astroM10
