bin,freezing_percentage,Mouse
"[0.0, 60.0)",3.8100000000000023,astroF3
"[60.0, 120.0)",4.88166666666667,astroF3
"[120.0, 180.0)",2.38166666666667,astroF3
"[180.0, 240.0)",37.73833333333334,astroF3
"[240.0, 300.0)",31.90500000000005,astroF3
"[300.0, 360.0)",27.14166666666652,astroF3
"[360.0, 420.0)",23.93166666666673,astroF3
"[0.0, 60.0)",0.0,astroF5
"[60.0, 120.0)",9.525000000000006,astroF5
"[120.0, 180.0)",2.5,astroF5
"[180.0, 240.0)",7.5,astroF5
"[240.0, 300.0)",34.881666666666625,astroF5
"[300.0, 360.0)",75.47333333333351,astroF5
"[360.0, 420.0)",21.111666666666622,astroF5
"[0.0, 60.0)",0.0,astroF6
"[60.0, 120.0)",21.666666666666668,astroF6
"[120.0, 180.0)",0.0,astroF6
"[180.0, 240.0)",2.6183333333333296,astroF6
"[240.0, 300.0)",20.47500000000004,astroF6
"[300.0, 360.0)",31.188333333333272,astroF6
"[360.0, 420.0)",45.14499999999988,astroF6
"[0.0, 60.0)",5.0,astroF7
"[60.0, 120.0)",0.0,astroF7
"[120.0, 180.0)",3.3333333333333335,astroF7
"[180.0, 240.0)",13.688333333333322,astroF7
"[240.0, 300.0)",14.048333333333291,astroF7
"[300.0, 360.0)",21.786666666666576,astroF7
"[360.0, 420.0)",13.73499999999988,astroF7
"[0.0, 60.0)",0.0,astroF9
"[60.0, 120.0)",8.453333333333338,astroF9
"[120.0, 180.0)",38.69,astroF9
"[180.0, 240.0)",57.50166666666667,astroF9
"[240.0, 300.0)",50.236666666666665,astroF9
"[300.0, 360.0)",55.95333333333333,astroF9
"[360.0, 420.0)",38.02833333333335,astroF9
"[0.0, 60.0)",8.453333333333338,astroF10
"[60.0, 120.0)",16.784999999999997,astroF10
"[120.0, 180.0)",51.426666666666655,astroF10
"[180.0, 240.0)",45.0,astroF10
"[240.0, 300.0)",47.73833333333333,astroF10
"[300.0, 360.0)",110.35666666666665,astroF10
"[360.0, 420.0)",79.92,astroF10
"[0.0, 60.0)",2.561666666666665,astroM3
"[60.0, 120.0)",0.0,astroM3
"[120.0, 180.0)",12.751666666666637,astroM3
"[180.0, 240.0)",37.11666666666678,astroM3
"[240.0, 300.0)",75.57999999999997,astroM3
"[300.0, 360.0)",33.44499999999992,astroM3
"[0.0, 60.0)",0.0,astroM4
"[60.0, 120.0)",0.0,astroM4
"[120.0, 180.0)",0.0,astroM4
"[180.0, 240.0)",10.22666666666666,astroM4
"[240.0, 300.0)",0.0,astroM4
"[300.0, 360.0)",36.12166666666667,astroM4
"[0.0, 60.0)",0.0,astroM5
"[60.0, 120.0)",0.0,astroM5
"[120.0, 180.0)",4.003333333333335,astroM5
"[180.0, 240.0)",5.221666666666636,astroM5
"[240.0, 300.0)",12.129999999999939,astroM5
"[300.0, 360.0)",50.401666666666735,astroM5
"[0.0, 60.0)",0.0,astroM6
"[60.0, 120.0)",0.0,astroM6
"[120.0, 180.0)",4.88166666666667,astroM6
"[180.0, 240.0)",4.998333333333325,astroM6
"[240.0, 300.0)",33.33333333333333,astroM6
"[300.0, 360.0)",56.11500000000016,astroM6
"[360.0, 420.0)",10.188333333333238,astroM6
"[0.0, 60.0)",0.0,astroM7
"[60.0, 120.0)",0.0,astroM7
"[120.0, 180.0)",8.003333333333368,astroM7
"[180.0, 240.0)",32.66999999999996,astroM7
"[240.0, 300.0)",44.22333333333322,astroM7
"[300.0, 360.0)",41.44333333333331,astroM7
"[0.0, 60.0)",0.0,astroM8
"[60.0, 120.0)",0.0,astroM8
"[120.0, 180.0)",0.0,astroM8
"[180.0, 240.0)",5.886666666666637,astroM8
"[240.0, 300.0)",42.225000000000016,astroM8
"[300.0, 360.0)",15.999999999999941,astroM8
"[0.0, 60.0)",0.0,astroM9
"[60.0, 120.0)",0.0,astroM9
"[120.0, 180.0)",0.0,astroM9
"[180.0, 240.0)",2.3316666666666683,astroM9
"[240.0, 300.0)",9.558333333333357,astroM9
"[300.0, 360.0)",73.45333333333363,astroM9
"[0.0, 60.0)",2.5,astroM10
"[60.0, 120.0)",15.835000000000008,astroM10
"[120.0, 180.0)",29.883333333333344,astroM10
"[180.0, 240.0)",48.448333333333316,astroM10
"[240.0, 300.0)",49.763333333333435,astroM10
"[300.0, 360.0)",45.00166666666654,astroM10
"[360.0, 420.0)",72.78499999999998,astroM10
