bin,freezing_percentage,Mouse
"[0.0, 60.0)",0.0,astroF3
"[60.0, 120.0)",2.8566666666666642,astroF3
"[120.0, 180.0)",0.0,astroF3
"[180.0, 240.0)",0.0,astroF3
"[240.0, 300.0)",14.52333333333333,astroF3
"[300.0, 360.0)",8.810000000000002,astroF3
"[360.0, 420.0)",4.046666666666662,astroF3
"[0.0, 60.0)",0.0,astroF5
"[60.0, 120.0)",0.0,astroF5
"[120.0, 180.0)",2.7383333333333346,astroF5
"[180.0, 240.0)",7.3816666666666695,astroF5
"[240.0, 300.0)",9.523333333333378,astroF5
"[300.0, 360.0)",25.594999999999953,astroF5
"[360.0, 420.0)",5.7133333333333285,astroF5
"[0.0, 60.0)",4.0483333333333364,astroF6
"[60.0, 120.0)",12.025000000000006,astroF6
"[120.0, 180.0)",8.691666666666672,astroF6
"[180.0, 240.0)",4.046666666666662,astroF6
"[240.0, 300.0)",3.3333333333333335,astroF6
"[300.0, 360.0)",7.141666666666708,astroF6
"[360.0, 420.0)",3.453333333333338,astroF6
"[0.0, 60.0)",3.2133333333333285,astroF9
"[60.0, 120.0)",3.2150000000000034,astroF9
"[120.0, 180.0)",16.546666666666663,astroF9
"[180.0, 240.0)",23.213333333333328,astroF9
"[240.0, 300.0)",2.38000000000009,astroF9
"[300.0, 360.0)",3.3333333333333335,astroF9
"[360.0, 420.0)",10.833333333333334,astroF9
"[0.0, 60.0)",2.381666666666667,astroF10
"[60.0, 120.0)",12.498333333333326,astroF10
"[120.0, 180.0)",10.953333333333338,astroF10
"[180.0, 240.0)",11.666666666666666,astroF10
"[240.0, 300.0)",2.976666666666574,astroF10
"[300.0, 360.0)",11.546666666666662,astroF10
"[360.0, 420.0)",35.52333333333346,astroF10
"[0.0, 60.0)",11.308333333333326,astroM10
"[60.0, 120.0)",3.6899999999999973,astroM10
"[120.0, 180.0)",0.0,astroM10
"[180.0, 240.0)",10.476666666666668,astroM10
"[240.0, 300.0)",15.236666666666753,astroM10
"[300.0, 360.0)",39.88000000000009,astroM10
"[360.0, 420.0)",2.6200000000000045,astroM10
