,Animal,Order,Sex,Session_Pair,Day_label,pct_unique
0,astroM3,A-B,male,FC-A,FC,22.58064516129032
1,astroM4,A-B,male,FC-A,FC,34.26724137931034
2,astroM5,A-B,male,FC-A,FC,39.09348441926346
3,astroM9,A-B,male,FC-A,FC,57.89473684210527
4,astroM10,A-B,male,FC-A,FC,76.14678899082568
5,astroF3,B-A,female,FC-A,FC,48.69109947643979
6,astroF5,B-A,female,FC-A,FC,68.57142857142857
7,astroF6,A-B,female,FC-A,FC,83.41232227488152
8,astroF7,A-B,female,FC-A,FC,77.77777777777779
9,astroF9,B-A,female,FC-A,FC,46.017699115044245
10,astroF10,B-A,female,FC-A,FC,77.25490196078432
11,astroM6,B-A,male,FC-B,FC,41.1522633744856
12,astroM7,B-A,male,FC-B,FC,53.35463258785943
13,astroM8,B-A,male,FC-B,FC,39.425587467362924
14,astroM10,A-B,male,FC-B,FC,60.16597510373444
15,astroF3,B-A,female,FC-B,FC,66.25766871165644
16,astroF5,B-A,female,FC-B,FC,86.63366336633663
17,astroF6,A-B,female,FC-B,FC,92.5
18,astroF7,A-B,female,FC-B,FC,91.04477611940298
19,astroF9,B-A,female,FC-B,FC,53.06122448979592
20,astroF10,B-A,female,FC-B,FC,76.0
21,astroM10,A-B,male,FC-HAB,FC,75.5868544600939
22,astroF3,B-A,female,FC-HAB,FC,88.80597014925374
23,astroF5,B-A,female,FC-HAB,FC,95.5
24,astroF6,A-B,female,FC-HAB,FC,89.84771573604061
25,astroF9,B-A,female,FC-HAB,FC,52.92397660818714
26,astroF10,B-A,female,FC-HAB,FC,59.23076923076923
27,astroM3,A-B,male,FC-A,A,45.45454545454545
28,astroM4,A-B,male,FC-A,A,40.08620689655172
29,astroM5,A-B,male,FC-A,A,17.56373937677054
30,astroM9,A-B,male,FC-A,A,37.89473684210527
31,astroM10,A-B,male,FC-A,A,12.385321100917432
32,astroF3,B-A,female,FC-A,A,34.55497382198953
33,astroF5,B-A,female,FC-A,A,21.224489795918366
34,astroF6,A-B,female,FC-A,A,9.47867298578199
35,astroF7,A-B,female,FC-A,A,9.722222222222223
36,astroF9,B-A,female,FC-A,A,35.61946902654867
37,astroF10,B-A,female,FC-A,A,20.0
38,astroM6,B-A,male,FC-B,B,24.691358024691358
39,astroM7,B-A,male,FC-B,B,17.89137380191693
40,astroM8,B-A,male,FC-B,B,37.33681462140992
41,astroM10,A-B,male,FC-B,B,20.74688796680498
42,astroF3,B-A,female,FC-B,B,23.31288343558282
43,astroF5,B-A,female,FC-B,B,4.455445544554455
44,astroF6,A-B,female,FC-B,B,4.5
45,astroF7,A-B,female,FC-B,B,2.9850746268656714
46,astroF9,B-A,female,FC-B,B,15.160349854227405
47,astroF10,B-A,female,FC-B,B,9.333333333333334
48,astroM10,A-B,male,FC-HAB,HAB,10.328638497652582
49,astroF3,B-A,female,FC-HAB,HAB,6.7164179104477615
50,astroF5,B-A,female,FC-HAB,HAB,3.5000000000000004
51,astroF6,A-B,female,FC-HAB,HAB,3.0456852791878175
52,astroF9,B-A,female,FC-HAB,HAB,14.912280701754385
53,astroF10,B-A,female,FC-HAB,HAB,21.53846153846154
