,Animal,Order,Sex,Session_Pair,Across_Sessions,Unique_FC,Unique_Cond,Unique_Total,Total_FC,Total_Cond,%Across_Session,%Unique_FC,%Unique_Cond,pct_overlap
0,astroM3,A-B,male,FC-A,109,77,155,341,186,264,31.96480938,22.58064516,45.45454545,31.964809384164223
1,astroM4,A-B,male,FC-A,119,159,186,464,278,305,25.64655172,34.26724138,40.0862069,25.646551724137932
2,astroM5,A-B,male,FC-A,153,138,62,353,291,215,43.3427762,39.09348442,17.56373938,43.342776203966004
3,astroM9,A-B,male,FC-A,8,110,72,190,118,80,4.210526316,57.89473684,37.89473684,4.2105263157894735
4,astroM10,A-B,male,FC-A,25,166,27,218,191,52,11.46788991,76.14678899,12.3853211,11.46788990825688
5,astroF3,B-A,female,FC-A,32,93,66,191,125,98,16.7539267,48.69109948,34.55497382,16.75392670157068
6,astroF5,B-A,female,FC-A,25,168,52,245,193,77,10.20408163,68.57142857,21.2244898,10.204081632653061
7,astroF6,A-B,female,FC-A,15,176,20,211,191,35,7.109004739,83.41232227,9.478672986,7.109004739336493
8,astroF7,A-B,female,FC-A,18,112,14,144,130,32,12.5,77.77777778,9.722222222,12.5
9,astroF9,B-A,female,FC-A,83,208,161,452,291,244,18.36283186,46.01769912,35.61946903,18.36283185840708
10,astroF10,B-A,female,FC-A,7,197,51,255,204,58,2.745098039,77.25490196,20.0,2.7450980392156863
11,astroM6,B-A,male,FC-B,83,100,60,243,183,143,34.1563786,41.15226337,24.69135802,34.15637860082305
12,astroM7,B-A,male,FC-B,90,167,56,313,257,146,28.75399361,53.35463259,17.8913738,28.753993610223645
13,astroM8,B-A,male,FC-B,89,151,143,383,240,232,23.23759791,39.42558747,37.33681462,23.237597911227155
14,astroM10,A-B,male,FC-B,46,145,50,241,191,96,19.08713693,60.1659751,20.74688797,19.08713692946058
15,astroF3,B-A,female,FC-B,17,108,38,163,125,55,10.42944785,66.25766871,23.31288344,10.429447852760736
16,astroF5,B-A,female,FC-B,18,175,9,202,193,27,8.910891089,86.63366337,4.455445545,8.91089108910891
17,astroF6,A-B,female,FC-B,6,185,9,200,191,15,3.0,92.5,4.5,3.0
18,astroF7,A-B,female,FC-B,8,122,4,134,130,12,5.970149254,91.04477612,2.985074627,5.970149253731343
19,astroF9,B-A,female,FC-B,109,182,52,343,291,161,31.77842566,53.06122449,15.16034985,31.778425655976676
20,astroF10,B-A,female,FC-B,33,171,21,225,204,54,14.66666667,76.0,9.333333333,14.666666666666666
21,astroM10,A-B,male,FC-HAB,30,161,22,213,191,52,14.08450704,75.58685446,10.3286385,14.084507042253522
22,astroF3,B-A,female,FC-HAB,6,119,9,134,125,15,4.47761194,88.80597015,6.71641791,4.477611940298507
23,astroF5,B-A,female,FC-HAB,2,191,7,200,193,9,1.0,95.5,3.5,1.0
24,astroF6,A-B,female,FC-HAB,14,177,6,197,191,20,7.106598985,89.84771574,3.045685279,7.1065989847715745
25,astroF9,B-A,female,FC-HAB,110,181,51,342,291,161,32.16374269,52.92397661,14.9122807,32.16374269005848
26,astroF10,B-A,female,FC-HAB,50,154,56,260,204,106,19.23076923,59.23076923,21.53846154,19.230769230769234
