animal,spearman_rho,spearman_p,slope,intercept,p_value_slope,p_value_bias,r2_var,r2_corr,r2_pseudo_robust,heatmap_fp,scatter_fp,shuffle_hist_fp,shuffle_empirical_p,shuffle_null_mean,shuffle_null_std,shuffle_z
astroF3,0.5106342364532019,1.1732883585029062e-09,0.5499539603934734,1.085125335912814,6.50411673466919e-24,8.598712080425051e-13,0.18016834667779724,0.19963983657379972,0.2885618725142267,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF3_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF3_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF3_shuffle_null.svg,9.999000099990002e-05,-8.702647783251243e-05,0.0897270308596375,5.691944311901706
astroF5,0.5812403560348889,5.162773045091896e-19,0.39298709972422563,1.6103758625272948,3.113664741538781e-60,6.3763012618388296e-102,-0.054747451500363864,0.01774360237353881,0.163789625233144,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF5_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF5_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF5_shuffle_null.svg,9.999000099990002e-05,-0.0001814682378546951,0.07128397948346608,8.156416469417854
astroF6,0.7503607042604981,8.086208669638613e-36,0.28128954676217366,1.482047767561498,4.846183528977967e-139,4.3727572689661515e-214,0.0713888636148099,0.08436828715714165,0.19563433088860904,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF6_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF6_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF6_shuffle_null.svg,9.999000099990002e-05,0.0008837822097463976,0.07309901273643686,10.25290074358166
astroF7,0.7853152062575659,1.9743607969590072e-28,0.8564895727824168,0.3450991966094512,7.14389272672995e-103,0.0007681622490263894,0.40946045696894995,0.44544712095269334,0.5024969356304503,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF7_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF7_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF7_shuffle_null.svg,9.999000099990002e-05,0.00031521214594413963,0.08751557147134208,8.969832235623448
astroF9,0.6759965123468672,3.3213076272954303e-40,0.7181101993872067,1.001617441703616,0.0,1.0930383377246492e-19,0.4020188648346741,0.4170899582984873,0.4024491432895074,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF9_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF9_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF9_shuffle_null.svg,9.999000099990002e-05,0.0017167568869942895,0.05828080719789943,11.569499254852564
astroF10,0.728399935477846,5.169854187371875e-35,0.717249847583806,0.9582636804122463,0.0,4.037493581268413e-26,0.5147955064371401,0.5243564067516601,0.5337225939734376,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF10_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF10_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroF10_shuffle_null.svg,9.999000099990002e-05,-0.00048536974307165107,0.07062474408064738,10.320537294666481
astroM3,0.5060511116428094,4.098895529492905e-12,0.4244190216786406,2.181326070067043,1.0021466881412508e-47,3.9884242115951737e-39,0.05821406907526483,0.09303860179513744,0.24716110256473323,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM3_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM3_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM3_shuffle_null.svg,9.999000099990002e-05,0.0005741362094938425,0.07832173958009224,6.453852763445813
astroM4,0.5660335324907907,1.0726121030423428e-24,0.40973668708508526,1.8078101183668687,3.4001989984974496e-75,1.0782341092972768e-71,0.024758492257909714,0.06554211206205723,0.257636320441164,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM4_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM4_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM4_shuffle_null.svg,9.999000099990002e-05,0.0003077696097328137,0.05974803414645252,9.468525131469598
astroM5,0.48695926706455817,1.4847130346104266e-18,0.44071404106870793,2.046930096322712,1.08389182823174e-64,1.824848609394271e-57,0.03255840293461143,0.07521960014843666,0.20374676916033807,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM5_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM5_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM5_shuffle_null.svg,9.999000099990002e-05,-0.0008295495769051335,0.05903557040396434,8.262625622068095
astroM6,0.6677118193560401,3.3140128889616824e-24,0.7114536079391865,1.2614904667487246,0.0,1.1821474379183612e-18,0.34989320135814694,0.37057085907177834,0.4870754619078096,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM6_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM6_scatter.svg,/Users/suthardr/Desktop/Revision/fig2//FC_crossvalled_astroM6_shuffle_null.svg,9.999000099990002e-05,-0.0003829999382869096,0.07624777608512427,8.762154827174143
