animal,context,n_cells,spearman_rho,spearman_p,argmax_fc,argmax_recall
astroF10,CxtA,3,1.0,0.0,2.3389021479713605;2.7398568019093084;3.04057279236277,1.4367541766109788;2.2386634844868745;18.67780429594272
astroF10,CxtB,14,0.2868261024268334,0.32010340992103276,2.4391408114558466;2.5393794749403327;2.5393794749403327;2.5393794749403327;2.6396181384248223;2.7398568019093084;2.8400954653937944;2.8400954653937944;2.9403341288782805;3.04057279236277;3.04057279236277;4.544152744630072;5.947494033412887;17.07398568019093,-7.484486873508353;-3.9761336515513133;4.443914081145586;4.042959427207638;-7.384248210023866;11.66109785202864;1.035799522673031;2.8400954653937944;-13.097852028639618;0.5346062052505971;8.854415274463008;1.035799522673031;27.599045346062056;3.541766109785204
astroF3,CxtA,20,0.3463859349893528,0.13462536369667044,1.7374701670644388;1.9379474940334127;2.0381861575178988;2.138424821002385;2.138424821002385;2.3389021479713605;2.7398568019093084;2.8400954653937944;2.8400954653937944;2.9403341288782805;2.9403341288782805;3.04057279236277;3.3412887828162283;3.4415274463007144;3.742243436754176;3.842482100238662;3.842482100238662;4.042959427207638;4.644391408114558;6.147971360381863,7.150357995226731;4.644391408114558;0.6348448687350832;1.4367541766109788;-12.496420047732697;0.03341288782816143;0.43436754176610926;0.8353221957040571;3.742243436754176;2.3389021479713605;1.035799522673031;-14.0;1.236276849642005;7.250596658711217;2.2386634844868745;4.24343675417661;4.343675417661096;13.565632458233889;3.942720763723152;4.042959427207638
astroF3,CxtB,7,-0.7142857142857144,0.07134356146753759,1.5369928400954649;1.8377088305489266;1.9379474940334127;2.5393794749403327;2.8400954653937944;3.2410501193317423;3.4415274463007144,3.942720763723152;5.54653937947494;12.26252983293556;3.742243436754176;0.3341288782816232;2.0381861575178988;3.541766109785204
astroF5,CxtA,5,-0.19999999999999998,0.747060078104662,2.2386634844868745;2.3389021479713605;2.5393794749403327;2.9403341288782805;3.4415274463007144,3.2410501193317423;1.136038186157517;6.0477326968973735;2.2386634844868745;2.138424821002385
astroF5,CxtB,10,0.4268372033233729,0.2186166141125521,2.138424821002385;2.5393794749403327;2.5393794749403327;2.6396181384248223;2.8400954653937944;2.8400954653937944;2.9403341288782805;3.140811455847256;3.3412887828162283;3.4415274463007144,1.5369928400954649;0.735083532219571;0.9355608591885449;1.336515513126491;1.035799522673031;1.236276849642005;2.6396181384248223;1.8377088305489266;2.138424821002385;1.136038186157517
astroF6,CxtA,6,-0.6,0.20799999999999982,1.136038186157517;1.236276849642005;1.336515513126491;1.6372315035799527;1.7374701670644388;2.7398568019093084,3.842482100238662;2.8400954653937944;1.5369928400954649;2.0381861575178988;3.2410501193317423;1.236276849642005
astroF7,CxtA,2,0.9999999999999999,,2.138424821002385;4.24343675417661,3.04057279236277;3.3412887828162283
astroF7,CxtB,1,,,1.6372315035799527,1.8377088305489266
astroF9,CxtA,73,-0.06808166695791847,0.5671086849444199,1.6372315035799527;1.6372315035799527;1.7374701670644388;1.7374701670644388;1.8377088305489266;1.9379474940334127;2.0381861575178988;2.3389021479713605;2.4391408114558466;2.5393794749403327;2.6396181384248223;2.6396181384248223;2.6396181384248223;2.6396181384248223;2.6396181384248223;2.7398568019093084;2.7398568019093084;2.7398568019093084;2.8400954653937944;2.8400954653937944;2.8400954653937944;2.9403341288782805;3.04057279236277;3.04057279236277;3.04057279236277;3.04057279236277;3.04057279236277;3.140811455847256;3.140811455847256;3.140811455847256;3.2410501193317423;3.3412887828162283;3.4415274463007144;3.4415274463007144;3.4415274463007144;3.541766109785204;3.541766109785204;3.64200477326969;3.64200477326969;3.742243436754176;3.742243436754176;3.842482100238662;3.842482100238662;3.842482100238662;3.942720763723152;3.942720763723152;4.143198090692124;4.143198090692124;4.24343675417661;4.443914081145586;4.544152744630072;4.544152744630072;4.644391408114558;4.94510739856802;5.245823389021481;5.54653937947494;5.747016706443915;5.947494033412887;5.947494033412887;5.947494033412887;6.0477326968973735;6.0477326968973735;6.949880668257755;6.949880668257755;7.250596658711217;8.553699284009546;9.455847255369928;10.95942720763723;12.26252983293556;12.563245823389021;12.563245823389021;13.966587112171837;24.09069212410501,4.24343675417661;8.553699284009546;1.236276849642005;0.8353221957040571;-4.377088305489259;5.646778042959426;15.369928400954652;4.94510739856802;-0.5680190930787585;0.9355608591885449;6.147971360381863;5.245823389021481;-0.7684964200477324;4.8448687350835336;6.348448687350835;3.64200477326969;7.050119331742245;4.8448687350835336;5.245823389021481;-13.498806682577566;21.28400954653938;3.842482100238662;4.343675417661096;10.157517899761338;3.842482100238662;-8.687350835322196;4.443914081145586;5.346062052505967;15.069212410501194;-2.6730310262529837;5.54653937947494;3.140811455847256;11.66109785202864;5.045346062052506;8.252983293556085;15.16945107398568;3.04057279236277;2.9403341288782805;26.997613365155132;4.143198090692124;8.45346062052506;8.052505966587113;4.744630071599044;-1.971360381861576;17.37470167064439;-3.4749403341288776;0.13365155131264927;27.198090692124104;-1.570405727923628;-6.983293556085919;17.675417661097853;3.2410501193317423;-6.281622911694511;1.336515513126491;0.43436754176610926;14.066825775656323;0.13365155131264927;1.4367541766109788;-1.1694510739856803;5.646778042959426;4.042959427207638;-5.680190930787589;25.894988066825775;2.5393794749403327;-6.682577565632458;14.367541766109785;2.6396181384248223;-1.570405727923628;10.057279236276848;5.54653937947494;11.961813842482101;1.236276849642005;2.2386634844868745
