"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1","0.1","0","2.8","2.4","1.8","2.66270539113887","3.2","3.5","0.4","5.7",NA,NA,NA,NA,NA,"1","F3."
"10","0","0","6.5","1","6.3","5.75007246331151","5.13333333333333","2.7","1","11.7",NA,NA,NA,NA,NA,"10","F3."
"100","0","0","1.9","2.5","0.1","0.923760430703401","1.16666666666667","1.7","0.1","1.7",NA,NA,NA,NA,NA,"100","F5."
"1000","0.1","0","30.7","3.4","11.2","19.8525397199787","21.9333333333333","0.1","38.9","26.8",NA,NA,NA,NA,NA,"1000","M4."
"1001","0.1","0","8.1","2.5","2.3","2.33023603954621","8.6","6","9.3","10.5",NA,NA,NA,NA,NA,"1001","M4."
"1002","0.5","0","17.5","10.1","0.5","0.152752523165195","16.9333333333333","16.9","17.1","16.8",NA,NA,NA,NA,NA,"1002","M4."
"1003","0.4","0","16.9","9.4","0.6","0.416333199893227","16.8666666666667","17","17.2","16.4",NA,NA,NA,NA,NA,"1003","M4."
"1004","0.1","0","7.8","2.1","4.7","4.63609030685699","6.46666666666667","3.4","11.8","4.2",NA,NA,NA,NA,NA,"1004","M4."
"1005","0.1","0","21","6.4","1.9","1.42945210949277","21.4333333333333","21.1","23","20.2",NA,NA,NA,NA,NA,"1005","M4."
"1006","0","0","14.6","1","10.4","15.244999180059","9.9","1.4","0.8","27.5",NA,NA,NA,NA,NA,"1006","M4."
"1007","0.1","0","10.2","1.8","9.8","14.9252582333886","10.0666666666667","1.3","1.6","27.3",NA,NA,NA,NA,NA,"1007","M4."
"1008","0.1","0","7","3.8","2.3","1.9731531449265","6.93333333333333","5.6","9.2","6",NA,NA,NA,NA,NA,"1008","M4."
"1009","0","0","6","1.6","2.6","2.05264057577875","4.83333333333333","3.1","4.3","7.1",NA,NA,NA,NA,NA,"1009","M4."
"101","0","0","22.5","1","11.7","12.5221137725758","26.3333333333333","11.9","34.3","32.8",NA,NA,NA,NA,NA,"101","F5."
"1010","0","0","4.4","1","11.3","2.23681320930768","2.66666666666667","3.7","4.2","0.1",NA,NA,NA,NA,NA,"1010","M4."
"1011","0.1","0","29.2","6.9","1.7","2.1007935008785","28.4666666666667","26.4","30.6","28.4",NA,NA,NA,NA,NA,"1011","M4."
"1012","0.1","0","5.5","4.9","0.5","2.7646579052992","3.96666666666667","5.9","5.2","0.8",NA,NA,NA,NA,NA,"1012","M4."
"1013","0.1","0","11.2","2.9","4.6","3.90512483795333","9.5","5","12","11.5",NA,NA,NA,NA,NA,"1013","M4."
"1014","0.1","0","3.8","1.7","1.4","1.56950098226581","3.96666666666667","4.5","5.2","2.2",NA,NA,NA,NA,NA,"1014","M4."
"1015","0","0","4.7","1.1","0.5","0.45092497528229","4.93333333333333","5.4","4.9","4.5",NA,NA,NA,NA,NA,"1015","M4."
"1016","0.1","0","5.2","2.1","3.1","3.84317577011513","5.4","6.6","8.5","1.1",NA,NA,NA,NA,NA,"1016","M4."
"1017","0.1","0","8.4","2.7","2.6","3.28836332137027","9.56666666666667","7.1","13.3","8.3",NA,NA,NA,NA,NA,"1017","M4."
"1018","0.1","0","9.6","1.4","0.4","1.47309198626562","9","7.3","9.8","9.9",NA,NA,NA,NA,NA,"1018","M4."
"1019","0.1","0","11.7","3.2","6.2","5.50545184340032","12.9","11.4","19","8.3",NA,NA,NA,NA,NA,"1019","M4."
"102","0","0","9.6","1.7","7.2","8.55004873280459","6.23333333333333","1","16.1","1.6",NA,NA,NA,NA,NA,"102","F5."
"1020","0.1","0","3.1","1.8","1.1","1.13578166916005","3.2","4","3.7","1.9",NA,NA,NA,NA,NA,"1020","M4."
"1021","0.1","0","1.2","2.3","0.4","1.11504857891185","1.46666666666667","2.3","1.9","0.2",NA,NA,NA,NA,NA,"1021","M4."
"1022","0.1","0","1.4","2.8","0.1","0.351188458428425","1.43333333333333","1.1","1.8","1.4",NA,NA,NA,NA,NA,"1022","M4."
"1023","0.1","0","0.6","2.7","0.6","0.404145188432738","0.666666666666667","0.9","0.9","0.2",NA,NA,NA,NA,NA,"1023","M4."
"1024","0.1","0","5.5","3.1","4.4","3.21403173599764","4.9","6.5","7","1.2",NA,NA,NA,NA,NA,"1024","M4."
"1025","0.1","0","4.7","3.4","3.1","3.60185137579736","4.23333333333333","5.9","6.7","0.1",NA,NA,NA,NA,NA,"1025","M4."
"1026","0.1","0","8.6","3.3","2.8","2.51064400768674","8.53333333333333","8.8","10.9","5.9",NA,NA,NA,NA,NA,"1026","M4."
"1027","0.1","0","26.3","1.7","5.6","5.39660387033673","29.9333333333333","34.3","31.6","23.9",NA,NA,NA,NA,NA,"1027","M4."
"1028","0.1","0","11.9","1.9","10.8","13.2258585102568","11.4333333333333","5.4","2.3","26.6",NA,NA,NA,NA,NA,"1028","M4."
"1029","0.1","0","12.5","2.5","11.3","17.0607737221968","10.2","0.3","0.4","29.9",NA,NA,NA,NA,NA,"1029","M4."
"103","0","0","32.1","0","3.6","2.1221058723196","31.0333333333333","32.5","28.6","32",NA,NA,NA,NA,NA,"103","F5."
"1030","0.1","0","15.1","5","10.6","14.7408728823409","15.8666666666667","10.2","4.8","32.6",NA,NA,NA,NA,NA,"1030","M4."
"1031","0.1","0","26","8.5","0.4","0.435889894354067","25.8","26.3","25.5","25.6",NA,NA,NA,NA,NA,"1031","M4."
"1032","0","0","2.9","0.7","1.7","1.65025250593154","2.56666666666667","0.9","2.6","4.2",NA,NA,NA,NA,NA,"1032","M4."
"1033","0","0","3.9","0.9","0.9","0.850490054811538","3.86666666666667","4.5","2.9","4.2",NA,NA,NA,NA,NA,"1033","M4."
"1034","0","0","20.2","2.8","10.1","13.8507520854766","18.7333333333333","27.9","2.8","25.5",NA,NA,NA,NA,NA,"1034","M4."
"1035","0","0","4.5","1","0.6","2.78747197295327","3.3","5.2","4.6","0.1",NA,NA,NA,NA,NA,"1035","M4."
"1036","0","0","9.5","1.3","3.7","2.39652526240249","9.76666666666667","7","11.2","11.1",NA,NA,NA,NA,NA,"1036","M4."
"1037","0.1","0","1.9","3.9","1.1","1.42945210949277","1.96666666666667","3.2","0.4","2.3",NA,NA,NA,NA,NA,"1037","M4."
"1038","0.1","0","15.7","1.6","11.3","13.6258333078507","17.3333333333333","7.1","12.1","32.8",NA,NA,NA,NA,NA,"1038","M4."
"1039","0.1","0","8.5","2","4.6","4.93186915208963","8.26666666666667","12.6","9.3","2.9",NA,NA,NA,NA,NA,"1039","M4."
"104","0","0","1.5","3.9","0.9","0.737111479583199","2.03333333333333","2.6","1.2","2.3",NA,NA,NA,NA,NA,"104","F5."
"1040","0","0","2","1.2","1.1","1.32035348802256","2.26666666666667","2","1.1","3.7",NA,NA,NA,NA,NA,"1040","M4."
"1041","0.2","0","5","1.9","0.3","0.494974746830583","5.15","5.5","4.8",NA,NA,NA,NA,NA,NA,"1041","M5."
"1042","0.3","0","5.1","2.7","0.2","0","5.3","5.3","5.3",NA,NA,NA,NA,NA,NA,"1042","M5."
