animal,spearman_rho,spearman_p,slope,intercept,p_value_slope,p_value_bias,r2_var,r2_corr,r2_pseudo_robust,heatmap_fp,scatter_fp,shuffle_hist_fp,shuffle_empirical_p,shuffle_null_mean,shuffle_null_std,shuffle_z
astroF3,0.5094629691818066,1.2986138084237806e-09,0.5837151821181893,1.1339506604303615,1.6447528902103072e-20,1.4085311791949378e-09,0.20987771096421992,0.22452645073807564,0.2895628637796104,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF3_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF3_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF3_shuffle_null.svg,9.999000099990002e-05,-0.0002611765630150873,0.09068092956728716,5.621073230849211
astroF5,0.6913618834561897,4.711968839156373e-29,0.7817302148683414,0.558285720183577,2.5451207694661274e-82,5.895064112467762e-07,0.5142120750438127,0.5197826052721003,0.5000692837210154,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF5_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF5_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF5_shuffle_null.svg,9.999000099990002e-05,0.0006430265801958112,0.07188575860314268,9.608563229882764
astroF6,0.8558292997615718,5.255833908640876e-56,0.9219234259926474,0.14483097797909317,0.0,0.0010386911705834662,0.45143344045545175,0.4982459555635959,0.6048625917911866,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF6_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF6_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF6_shuffle_null.svg,9.999000099990002e-05,0.0004465370047262137,0.07249786001463177,11.79873119802999
astroF7,0.7657542207249314,2.652169801285599e-26,0.819739961579392,0.3817385457110366,7.071916223445648e-114,2.473266114479377e-05,0.5596783384096295,0.5672219054177127,0.5148304691351431,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF7_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF7_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF7_shuffle_null.svg,9.999000099990002e-05,7.502597263758703e-06,0.08873304498260046,8.629780689586298
astroF9,0.6116423616499751,2.995584761517353e-31,0.6207967975942252,1.2579989489340084,1.222540254292006e-261,1.7573594441029968e-29,0.3405345563882123,0.36560433277789955,0.4374218398462405,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF9_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF9_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF9_shuffle_null.svg,9.999000099990002e-05,-0.000191276067584164,0.058627345107204194,10.435977214870343
astroF10,0.6188180854481662,5.9863446896126e-23,0.623883118754457,1.2637870732349743,0.0,6.899134828836435e-41,0.40141902028575616,0.4167536347060739,0.44052394131168515,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF10_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF10_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroF10_shuffle_null.svg,9.999000099990002e-05,0.0010293391403665949,0.06975854475336968,8.856101406402994
astroM3,0.6187791607064077,8.207016010841065e-19,0.6437172101302533,1.310195154585342,3.0960614440422915e-64,2.9273584909724146e-12,0.27464268713952744,0.2916747912511736,0.28465626199310556,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM3_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM3_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM3_shuffle_null.svg,9.999000099990002e-05,-0.0009651165091375783,0.07861920877513146,7.882860777450327
astroM4,0.5761918607337051,1.004662084654697e-25,0.6177027023365852,1.3110277449911365,1.1757644469146683e-76,1.3970446598871998e-20,0.2598824218662671,0.2744342948507019,0.31583079960210503,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM4_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM4_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM4_shuffle_null.svg,9.999000099990002e-05,-0.0006845903659054897,0.05935444948471631,9.719177856049972
astroM5,0.49939922955589494,1.4254799644402918e-19,0.2938598046906988,2.6013944827890216,2.159047070840112e-34,1.468825381636837e-86,0.014448185961522975,0.04427537274599058,0.16728648306930172,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM5_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM5_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM5_shuffle_null.svg,9.999000099990002e-05,-0.00023840353423951636,0.05849784068517804,8.541129505455226
astroM6,0.595592446358994,2.253480152819346e-18,0.6783811758634906,1.4497500036881625,5.6467969021627496e-213,5.370468491522642e-17,0.30155437345076164,0.32322046071120936,0.36981048401314764,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM6_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM6_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM6_shuffle_null.svg,9.999000099990002e-05,0.000879318210605974,0.07646109614455712,7.777983289910559
astroM7,0.3737496071676341,8.286428870289123e-10,0.3395115145947231,3.499153097200293,4.330239439038112e-24,6.146470108756252e-35,0.046899168366118515,0.0816529851867374,0.15815937106361677,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM7_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM7_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM7_shuffle_null.svg,9.999000099990002e-05,0.00040112098050958524,0.06329173614010206,5.898850449524478
astroM8,0.5815702176173461,5.0151153596936156e-23,0.5895069031960236,1.5249392487947897,4.064807792362492e-152,2.3042191883135367e-38,-0.05889021891060997,0.06600048764172149,0.2752839905509423,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM8_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM8_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM8_shuffle_null.svg,9.999000099990002e-05,-0.00039357248985279306,0.0647896372205876,8.98235914050297
astroM9,0.7773144006270436,1.7285796291786125e-24,0.8470939091232614,0.40863473902935965,8.677859126718165e-86,0.0009454830417484457,0.5451264343579425,0.5555172717590869,0.513013814111624,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM9_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM9_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM9_shuffle_null.svg,9.999000099990002e-05,-0.000811269169563049,0.0937002661016579,8.304412593066631
astroM10,0.6845353390236346,1.5627539845509225e-25,0.7591371280111356,0.5626567667682862,2.0401515056386224e-75,3.136725217244248e-07,0.4432766306153393,0.4534976222599226,0.48140002686250905,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM10_heatmaps.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM10_scatter.svg,/Users/suthardr/Desktop/Revision/Supp/first_v_second/FC_crossvalled_astroM10_shuffle_null.svg,9.999000099990002e-05,-0.0007301532437533453,0.07439845087552098,9.210749473866361
